StoreID,Sq_Ft,AvgMonthSales,Right_Name,Phone Number,Street Combined,Street 1,Street 2,Street 3,City,State,Postal Code,Region,Country,Coordinates,Latitude,Longitude,Timezone,Current Timezone Offset,Olson Timezone
10018,1183,18000,Bellflower & Spring,562-420-1317,"2890 N Bellflower Blvd, #A-1, The Los Altos Marketplace",2890 N Bellflower Blvd,#A-1,The Los Altos Marketplace,Long Beach,CA,908151125,West,US,"(33.8085823059082, -118.124931335449)",33.80858231,-118.1249313,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles
10068,1198,16000,"Foothill & Boston, La Crescenta",818-541-7693,"3747 Foothill Boulevard, A",3747 Foothill Boulevard,A,,La Cresenta,CA,912141700,West,US,"(34.2375450134277, -118.26114654541)",34.23754501,-118.2611465,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles
10118,1204,13000,Magic Mountain & Tourney,661-260-0844,"25349 Wayne Mills Place, Tourney Retail Plaza",25349 Wayne Mills Place,,Tourney Retail Plaza,Valencia,CA,913551827,West,US,"(34.4237022399902, -118.579261779785)",34.42370224,-118.5792618,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles
10168,1195,19000,Alameda & Shelton,(818) 557-6604,"1190 Alameda Avenue, Suite G-2",1190 Alameda Avenue,Suite G-2,,Burbank,CA,915062806,West,US,"(34.1625328063965, -118.314529418945)",34.16253281,-118.3145294,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles
10218,1193,15000,Victoria Gardens,909-646-8562,"12466 North Main Street, Space 3340, Victoria Gardens",12466 North Main Street,Space 3340,Victoria Gardens,Rancho Cucamonga,CA,917398886,West,US,"(34.1120910644531, -117.533462524414)",34.11209106,-117.5334625,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles
10268,1191,25000,"Azusa & Amar, West Covina",626-964-5145,2320 S. Azusa Avenue,2320 S. Azusa Avenue,,,West Covina,CA,917921511,West,US,"(34.0354042053223, -117.911918640137)",34.03540421,-117.9119186,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles
10318,1147,16000,"Chase & Avocado, El Cajon",619-444-5107,450 E. Chase Avenue,450 E. Chase Avenue,,,El Cajon,CA,920206409,West,US,"(32.7806205749512, -116.956497192383)",32.78062057,-116.9564972,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles
10368,1159,19000,Albertsons -- San Marcos #6708,(760) 736-8880,151 Woodland Pkwy,151 Woodland Pkwy,,,San Marcos,CA,920693010,West,US,"(33.1403732299805, -117.138748168945)",33.14037323,-117.1387482,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles
10418,1146,19000,Fashion Valley Mall -Lvl 2 Food Crt,619-299-2593,"7007 Friars Road, 855A, Fashion Valley Mall - San Diego",7007 Friars Road,855A,Fashion Valley Mall - San Diego,San Diego,CA,921081129,West,US,"(32.7674598693848, -117.166549682617)",32.76745987,-117.1665497,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles
10468,1151,21000,Mira Mesa Mall,(858) 586-6361,"8250 Mira Mesa Blvd., Suite H",8250 Mira Mesa Blvd.,Suite H,,San Diego,CA,921262624,West,US,"(32.9138488769531, -117.145957946777)",32.91384888,-117.1459579,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles
10518,1147,11000,"Imperial & Main, El Centro",(760) 352-3502,"202 S. Imperial Avenue, Valley Plaza",202 S. Imperial Avenue,,Valley Plaza,El Centro,CA,922432859,West,US,"(32.7915458679199, -115.570175170898)",32.79154587,-115.5701752,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles
10568,1192,21000,Vons - Redlands #1734,909-793-0447,522 NORTH ORANGE,522 NORTH ORANGE,,,Redlands,CA,923743208,West,US,"(34.0601615905762, -117.181457519531)",34.06016159,-117.1814575,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles
10618,1187,15000,Moreno Beach & Hwy 60,951-485-6878,12751 Moreno Beach Drive,12751 Moreno Beach Drive,,,Moreno Valley,CA,925554411,West,US,"(33.9356384277344, -117.178985595703)",33.93563843,-117.1789856,Pacific Standard Time,-480,GMT-08:00 America/Los_Angeles
