Store,Age0to9,Age10to17,Age18to24,Age25to29,Age30to39,Age40to49,Age50to64,Age65Plus,EdLTHS,EdHSGrad,EdSomeCol,EdAssociate,EdBachelor,EdMaster,EdProfSchl,EdDoctorate,HHSz1Per,HHSz2Per,HHSz3Per,HHSz4Per,HHSz5PlusPer,HHIncU25K,HHInc25Kto50K,HHInc50Kto75K,HHInc75Kto100K,HHInc100Kto150K,HHInc150Kto250K,HHInc250KPlus,PopAsian,PopBlack,PopHispanic,PopMulti,PopNativeAmer,PopOther,PopPacIsl,PopWhite,HVal0to100K,HVal100Kto200K,HVal200Kto300K,HVal300Kto400K,HVal400Kto500K,HVal500Kto750K,HVal750KPlus,PopDens
S0001,0.138162853708721,0.111414427445148,0.113227534785177,8.16713182716401e-002,0.134923706887771,0.128832481104977,0.160429441603683,0.131358608185467,0.241934968187486,0.23282284106532,0.211753045368801,0.117754260319084,0.129967707900374,3.84947405441698e-002,8.37676247721968e-003,1.79045304856604e-003,0.263372805226623,0.283730968908592,0.151898734177215,0.132182231814735,0.168756927025608,0.227614769876918,0.273172723560637,0.21787318439013,0.114157382021816,0.116199031674736,3.73913550720411e-002,1.35915534037216e-002,6.06066779391692e-002,2.38963473017296e-002,0.431112107075193,2.15739401470858e-002,4.56332633894921e-003,1.28343553282947e-003,2.66873102858191e-003,0.454295434636462,0.0738525390625,0.115966796875,0.2235107421875,0.3018798828125,0.1807861328125,0.09716796875,0.0068359375,4260.94367229788
S0002,0.138954243775679,0.11272254802121,0.100572391754749,7.48323208203111e-002,0.121080169961723,0.146960705130456,0.195455982020578,0.109421638515293,0.125223613595707,0.299506694855532,0.186913861332466,9.0854881552556e-002,0.12657884750908,3.5832384669594e-002,6.99300699300699e-003,2.7104678267469e-003,0.218165802094548,0.307428795145346,0.19526279729862,0.159244396593912,0.120093961045317,0.186845453655672,0.243319956934521,0.193207399432319,0.152295194284036,0.152490946461779,5.1678574924146e-002,2.00645982186552e-002,1.74865690508796e-002,1.58713437971839e-002,0.193581235296183,3.10755293374065e-002,8.70817093296815e-003,7.02271849432915e-004,2.87931458267495e-003,0.729695565153271,0.124956491472329,0.127915071353985,0.206578489383919,0.223807866341803,0.174730247128437,0.129133310128785,1.28785241907414e-002,3061.06007258696
S0003,0.108581987268648,9.12616627917602e-002,0.11348568991949,0.111414560849569,0.18290912413576,0.144938424520544,0.150248230910586,9.71704721971228e-002,0.321859983736231,0.172440304576033,0.266370961780143,6.05455755156354e-002,0.215125304945664,6.05160050269831e-002,1.50809492126857e-002,6.2689435942929e-003,0.30690069334498,0.287274116940547,0.14898727957635,0.116831358846973,0.139979254244691,0.35551673308948,0.256128186930174,0.156685046677949,8.32559917016979e-002,8.63678549980892e-002,4.08090844570617e-002,2.12371021455479e-002,0.223656023148383,3.00928981166557e-002,0.541976750088837,1.69754809888827e-002,1.83765673384436e-003,2.5788111071628e-003,8.02071171125438e-004,0.182080308645109,2.46652572233968e-002,6.52572233967583e-002,0.114869626497533,0.150105708245243,0.155461592670895,0.251444679351656,0.238195912614517,13740.9233280646
S0004,0.142757736678264,0.102581944698773,8.39406702069218e-002,6.23695293902216e-002,0.131660867972899,0.134041384361838,0.158762131477751,0.183922358542392,0.198361998361998,0.206661206661207,0.196287196287196,0.114004914004914,0.184711984711985,6.44826644826645e-002,1.38138138138138e-002,1.37046137046137e-002,0.274992838728158,0.316623699035615,0.140265444476272,0.128807409529266,0.139310608230688,0.206435596295235,0.249307743721952,0.181323403036379,0.124510646424138,0.143416404086699,6.53107991979376e-002,2.95999236131004e-002,5.71282088841689e-002,1.89328743545611e-002,0.377009557988794,2.30710074339913e-002,2.6000659171641e-003,2.45358333028161e-003,1.9042736294723e-003,0.516900428461567,0.175373686547284,0.112919934882344,9.51605742193281e-002,0.247891075921267,0.152582507029747,0.161462187361255,5.46100340387746e-002,2947.36720349491
S0005,0.112396032557933,8.36520926922564e-002,9.13134368189299e-002,0.103055642040653,0.183738824889917,0.146510696971045,0.16569185606903,0.113630298447716,0.164271559862067,0.158904024091498,0.257828956607218,5.71704972772239e-002,0.297040053675358,9.10296618764531e-002,3.63088829596343e-002,1.71948384278113e-002,0.355434984973005,0.303093167371473,0.145535785526211,0.101199499986702,9.47631585946435e-002,0.246575706800713,0.227107103912338,0.17447272533844,0.109178435596691,0.125801218117503,7.36987685842709e-002,4.31660416500439e-002,8.01374356465369e-002,0.179411339552778,0.301491110048592,3.31691370242291e-002,1.94589305371777e-003,5.74872405012621e-003,1.37880422092002e-003,0.3967175564031,2.1851953018301e-002,2.28535008649731e-002,7.08367477009924e-002,0.113448056086679,0.126377128289174,0.208777201129018,0.435855412910862,12124.7402093806
S0006,0.124271186440678,0.106169491525424,9.14576271186441e-002,0.07,0.136271186440678,0.152271186440678,0.194949152542373,0.124610169491525,0.141471705658868,0.277194561087782,0.200959808038392,0.103379324135173,0.119676064787043,4.57408518296341e-002,7.89842031593681e-003,5.24895020995801e-003,0.229728485964105,0.32646111366774,0.184721583064887,0.153704555913484,0.105384261389784,0.174321214910262,0.227887712839393,0.200460193281178,0.151311550851358,0.180487804878049,4.79521398987575e-002,1.75793833410032e-002,4.02372881355932e-002,2.16949152542373e-002,0.171559322033898,3.24406779661017e-002,5.52542372881356e-003,1.6271186440678e-003,4.54237288135593e-003,0.722372881355932,0.122939746014591,0.124290732234531,0.153336935963253,0.293704404215077,0.218589570386382,7.86273980005404e-002,8.51121318562551e-003,3624.19129565674
S0007,0.122797273415804,0.113456197929816,9.04822014642767e-002,6.4276697803585e-002,0.122418581166372,0.143069931835395,0.191719262812421,0.151754607422368,0.103607319634018,0.166791660416979,0.181828408579571,0.103157342132893,0.203614819259037,0.102482375881206,2.28363581820909e-002,1.22993850307485e-002,0.228354677060134,0.320712694877506,0.169404231625835,0.149846881959911,0.131611915367483,0.138571826280624,0.191745545657016,0.161400334075724,0.153883630289532,0.212834075723831,0.103702672605791,3.78619153674833e-002,8.14420236802908e-002,1.84292242053975e-002,0.271389260558936,3.13044356365656e-002,2.54979677362349e-003,1.66620383226881e-003,1.84292242053975e-003,0.591376132892378,2.30049532195927e-002,4.84314804623005e-002,8.02421574023115e-002,0.114584479911943,0.209025866813429,0.36862960924601,0.156081452944414,4582.324701558
S0008,0.123948171660601,9.41784521296927e-002,0.117854630260527,0.106720068247664,0.185526177299896,0.142483616683008,0.146998376902154,8.2290506816457e-002,0.342596377651898,0.20303336197619,0.279401336481267,5.04058665020398e-002,0.208214103965228,3.72913312254415e-002,9.32700409620663e-003,4.05449373055136e-003,0.30514434032022,0.255557064602291,0.160215491873783,0.13466733064723,0.144415772556476,0.423121614076388,0.30055683824528,0.13705162448881,5.97733411803764e-002,5.32844402191136e-002,1.75351230627613e-002,8.66192825991821e-003,0.278332354668233,3.92370843904763e-002,0.589957788143011,1.14614609069456e-002,1.55109185787567e-003,2.96369337129815e-003,8.30942066719108e-004,7.5665584595442e-002,2.3879918125995e-002,7.11848987946327e-002,0.164885148965204,0.175574255173982,0.169888560382079,0.230839208551285,0.163748010006823,32736.4559745611
S0009,0.140008980691513,0.142373896123335,0.105493189642269,6.85226762460709e-002,0.117018410417602,0.146505014219428,0.186139799431223,9.39380332285586e-002,0.139922727050423,0.261554262238959,0.191177189807796,8.77879395510344e-002,0.134102802367095,6.13781972905561e-002,2.01007482760307e-002,1.03682691837433e-002,0.193511111111111,0.2832,0.184444444444444,0.159822222222222,0.178933333333333,0.186933333333333,0.183288888888889,0.213688888888889,0.139644444444444,0.172711111111111,7.12888888888889e-002,3.24444444444444e-002,4.84073763621123e-002,0.123428331936295,0.287600287390732,3.08046940486169e-002,4.72997245838822e-003,3.14333612740989e-003,2.09555741827326e-003,0.499790444258173,7.21268163804491e-002,0.383619550858653,0.31664464993395,0.131836195508587,5.28401585204756e-002,1.9550858652576e-002,2.33817701453104e-002,2778.39673539859
S0010,0.11927548841256,9.38859447915843e-002,0.106699359329273,8.63719054021988e-002,0.145851459305545,0.137388278098553,0.182077038677529,0.128450525982757,0.259448773113153,0.140830329108036,0.214443539946505,6.69845330852425e-002,0.191650191882777,8.08233515525061e-002,3.59344109780207e-002,2.04674962204908e-002,0.300906640529282,0.291595197255575,0.128889977946582,0.114677775055134,0.163930409213428,0.181083067875521,0.236461651555991,0.174222004410684,0.127664788042147,0.120803724577309,8.89487870619946e-002,7.13060524381279e-002,1.66864373270067e-002,1.73190984578885e-002,0.546777382364571,1.28904705417161e-002,5.77303281929616e-003,1.66073546856465e-003,7.11743772241993e-004,0.398181099248715,5.85042219541616e-002,3.67913148371532e-002,2.41254523522316e-002,2.83474065138721e-002,5.66948130277443e-002,0.205066344993969,0.590470446320869,3144.97604011776
